Yellowstone National Park,"Visit Yellowstone and experience the world's first national park. Marvel at a volcano hidden power rising up in colorful hot springs, mudpots, and geysers. Explore mountains, forests, and lakes to watch wildlife and witness the drama of the natural world unfold. Discover the history that led to the conservation of our national treasures for the benefit and enjoyment of the people.",https://www.nps.gov/yell/index.htm,https://www.nps.gov/common/uploads/grid_builder/imr/crop16_9/DB7F397B-1DD8-B71B-0BCC3874F8109351.jpg?width=950&quality=90&mode=crop,3
Yosemite National Park,"Not just a great valley, but a shrine to human foresight, the strength of granite, the power of glaciers, the persistence of life, and the tranquility of the High Sierra.",https://www.nps.gov/yose/index.htm,https://www.nps.gov/common/uploads/grid_builder/pwr/crop16_9/2A84C724-1DD8-B71B-0B0F4361A736E640.jpg?width=950&quality=90&mode=crop,4
Theodore Roosevelt National Park,"When Theodore Roosevelt came to Dakota Territory to hunt bison in 1883, he was a skinny, young, spectacled dude from New York. He could not have imagined how his adventure in this remote and unfamiliar place would forever alter the course of the nation. The rugged landscape and strenuous life that TR experienced here would help shape a conservation policy that we still benefit from today. ",https://www.nps.gov/thro/index.htm,https://www.nps.gov/common/uploads/grid_builder/mwr/crop16_9/C5A4C491-1DD8-B71B-0BBCC15C3FBB77D1.jpg?width=307&quality=90&mode=crop,5
Tallgrass Prairie National Preserve,"Tallgrass prairie once covered 170 million acres of North America. Within a generation the vast majority was developed and plowed under. Today less than 4% remains, mostly here in the Kansas Flint Hills. The preserve protects a nationally significant remnant of the once vast tallgrass prairie and its cultural resources. Here the tallgrass prairie takes its last stand. ",https://www.nps.gov/tapr/index.htm,https://www.nps.gov/common/uploads/grid_builder/mwr/crop16_9/92080D2B-1DD8-B71B-0BDB95151AD46100.JPG?width=465&quality=90&mode=crop,6
Sleeping Bear Dunes National Lakeshore,"Miles of sand beach, bluffs that tower 450 above Lake Michigan, lush forests, clear inland lakes, unique flora and fauna make up the natural world of Sleeping Bear Dunes. High dunes afford spectacular views across the lake. An island lighthouse, US Life-Saving Service stations, coastal villages, and picturesque farmsteads reflect the park rich maritime, agricultural, and recreational history. ",https://www.nps.gov/slbe/index.htm,https://www.nps.gov/common/uploads/grid_builder/mwr/crop16_9/238BE30E-1DD8-B71B-0BACF6E5B55CBDEB.jpg?width=950&quality=90&mode=crop,7
Point Reyes National Seashore,"From its thunderous ocean breakers crashing against rocky headlands and expansive sand beaches to its open grasslands, brushy hillsides, and forested ridges, Point Reyes offers visitors over 1500 species of plants and animals to discover. Home to several cultures over thousands of years, the Seashore preserves a tapestry of stories and interactions of people. Point Reyes awaits your exploration. ",https://www.nps.gov/pore/index.htm,https://www.nps.gov/common/uploads/grid_builder/pwr/crop16_9/E48707D9-1DD8-B71B-0B8B487E5AE0A63E.jpg?width=307&quality=90&mode=crop,8
Petrified Forest National Park,"Did you know that Petrified Forest is more spectacular than ever? While the park has all the wonders known for a century, there are many new adventures and discoveries to share. There are backcountry hikes into areas never open before such as Red Basin and little known areas like the Martha's Butte. There are new exhibits that bring the stories to life. Come rediscover Petrified Forest! ",https://www.nps.gov/pefo/index.htm,https://www.nps.gov/common/uploads/grid_builder/imr/crop16_9/69D5EB42-1DD8-B71B-0B4D1DC97B92B948.jpg?width=950&quality=90&mode=crop,9
Padre Island National Seashore,"Padre Island National Seashore separates the Gulf of Mexico from the Laguna Madre, one of a few hypersaline lagoons in the world. The park protects 70 miles of coastline, dunes, prairies, and wind tidal flats teeming with life. It is a safe nesting ground for the Kemp ridley sea turtle and a haven for 380 bird species. It also has a rich history, including the Spanish shipwrecks of 1554. ",https://www.nps.gov/pais/index.htm,https://www.nps.gov/common/uploads/grid_builder/imr/crop16_9/2AA937AD-1DD8-B71B-0B19AC32B418ABA4.jpg?width=307&quality=90&mode=crop,10
Obed Wild & Scenic River,"The Obed Wild and Scenic River looks much the same today as it did when the first white settlers strolled its banks in the late 1700s. While meagerly populated due to poor farming soil, the river was a hospitable fishing and hunting area for trappers and pioneers. Today, the Obed stretches along the Cumberland Plateau and offers visitors a variety of outdoor recreational opportunities. ",https://www.nps.gov/obed/index.htm,https://www.nps.gov/common/uploads/grid_builder/akr/crop16_9/615E8B3A-1DD8-B71B-0B44893A0F10D343.jpg?width=465&quality=90&mode=crop,11
Natural Bridges National Monument,"Three majestic natural bridges invite you to ponder the power of water in a landscape usually defined by its absence. View them from an overlook, or hit the trails and experience their grandeur from below. Declared a National Monument in 1908, the bridges are named ""Kachina,"" ""Owachomo"" and ""Sipapu"" in honor of the Native Americans that once made this area their home. ",https://www.nps.gov/nabr/index.htm,https://www.nps.gov/common/uploads/grid_builder/imr/crop16_9/74235799-1DD8-B71B-0B5ECFA442C70F3D.jpg?width=465&quality=90&mode=crop,12
Natchez Trace Parkway,"The Natchez Trace Parkway is a 444-mile recreational road and scenic drive through three states. It roughly follows the ""Old Natchez Trace"" a historic travel corridor used by American Indians, ""Kaintucks,"" European settlers, slave traders, soldiers, and future presidents. Today, people can enjoy not only a scenic drive but also hiking, biking, horseback riding, and camping along the parkway. ",https://www.nps.gov/natr/index.htm,https://www.nps.gov/common/uploads/grid_builder/akr/crop16_9/D438D336-1DD8-B71B-0B9BEA2135423214.jpg?width=950&quality=90&mode=crop,13
Mount Rushmore National Memorial,"Majestic figures of George Washington, Thomas Jefferson, Theodore Roosevelt and Abraham Lincoln, surrounded by the beauty of the Black Hills of South Dakota, tell the story of the birth, growth, development and preservation of this country. From the history of the first inhabitants to the diversity of America today, Mount Rushmore brings visitors face to face with the rich heritage we all share. ",https://www.nps.gov/moru/index.htm,https://www.nps.gov/common/uploads/grid_builder/mwr/crop16_9/C6C71E83-1DD8-B71B-0B3B2B02603AB440.jpg?width=307&quality=90&mode=crop,14
Mount Rainier National Park,"Ascending to 14,410 feet above sea level, Mount Rainier stands as an icon in the Washington landscape. An active volcano, Mount Rainier is the most glaciated peak in the contiguous U.S.A., spawning six major rivers. Subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainier lower slopes. Wildlife abounds in the park ecosystems. A lifetime of discovery awaits. ",https://www.nps.gov/mora/index.htm,https://www.nps.gov/common/uploads/grid_builder/pwr/crop16_9/F096F25E-1DD8-B71B-0BB2F7B3366C4901.JPG?width=307&quality=90&mode=crop,15
Mississippi National River & Recreation Area,"In the middle of a bustling urban setting, this 72 mile river park offers quiet stretches for fishing, boating and canoeing.Other spots are excellent for birdwatching, bicycling and hiking. And there are plenty of visitor centers that highlight the history and science of the Mississippi River.If you are interested in the Mississippi River, this is a great place to start your exploration. ",https://www.nps.gov/miss/index.htm,https://www.nps.gov/common/uploads/grid_builder/mwr/crop16_9/04F1460F-1DD8-B71B-0BBAB00A54E1EC4B.jpg?width=465&quality=90&mode=crop,16
Mammoth Cave National Park,"Mammoth Cave National Park preserves the cave system and a part of the Green River valley and hilly country of south central Kentucky. This is the world's longest known cave system, with more than 400 miles explored. Early guide Stephen Bishop called the cave a ""grand, gloomy and peculiar place,"" but its vast chambers and complex labyrinths have earned its name - Mammoth. ",https://www.nps.gov/maca/index.htm,https://www.nps.gov/common/uploads/grid_builder/akr/crop16_9/97257870-1DD8-B71B-0B4A4AAF80A4E8E7.jpg?width=950&quality=90&mode=crop,17
Lake Mead National Recreation Area,"Boat, hike, cycle, camp and fish at America most diverse national recreation area. With striking landscapes and brilliant blue waters, this year-round playground spreads across 1.5 million acres of mountains, canyons, valleys and two vast lakes. See the Hoover Dam from the waters of Lake Mead or Lake Mohave, or find solitude in one of the park's nine wilderness areas. ",https://www.nps.gov/lake/index.htm,https://www.nps.gov/common/uploads/grid_builder/pwr/crop16_9/0FE723A4-1DD8-B71B-0B294802FC685A6D.jpg?width=950&quality=90&mode=crop,18
Joshua Tree National Park,"Two distinct desert ecosystems, the Mojave and the Colorado, come together in Joshua Tree National Park. A fascinating variety of plants and animals make their homes in a land sculpted by strong winds and occasional torrents of rain. Dark night skies, a rich cultural history, and surreal geologic features add to the wonder of this vast wilderness in southern California. Come explore for yourself. ",https://www.nps.gov/jotr/index.htm,https://www.nps.gov/common/uploads/grid_builder/pwr/crop16_9/557E15C9-1DD8-B71B-0B4517C08222B3F9.jpg?width=465&quality=90&mode=crop,19
John Day Fossil Beds National Monument,"Colorful rock formations at John Day Fossil Beds preserve a world class record of plant and animal evolution, changing climate, and past ecosystems that span over 40 million years. Exhibits and a working lab at the Thomas Condon Paleontology Center as well as scenic drives and hikes at all three units allow visitors to explore the prehistoric past of Oregon and see science in action. ",https://www.nps.gov/joda/index.htm,https://www.nps.gov/common/uploads/grid_builder/pwr/crop16_9/53E53F43-1DD8-B71B-0BDCA4868ADAD2E5.jpg?width=950&quality=90&mode=crop,20
